                                   TABLE STROKE BETA
                                         MALES
 TOTAL STROKE in persons with no CVD (FHS DG July 2012,us bp analysis guide 090712; CKD=Kaiser/Go CVD, IDBP China/Kelly)
         AGE      sBP       LDL           SMOK       HDL    AntiHTNMed     Diabetes   IsoDBP     CKD

          1      .0472      0.0          .0223       .00        .0         .7847       .0312     .4536
          2      .0422      0.0          .0223       .00        .0         .7847       .0312     .3728
          3      .0368      0.0          .0223       .00        .0         .7847       .0312     .4435
          4      .0283      0.0          .0223       .00        .0         .7847       .0312     .4812
          5      .0162      0.0          .0223       .00        .0         .7847       .0312     .4598 
          6      .0162      0.0          .0223       .00        .0         .7847       .0312     .4598 

               HEMORRHAGIC STROKE in persons with no CVD (U.S. Betas)                  
 	          SBP       LDL           SMOK       HDL    AntiHTNMed   Diabetes     IsoDBP       CKD
          1      .0         0.0          .0          .0        0.0         .0          .0        .0       
          2      .0         0.0          .0          .0        0.0         .0          .0        .0       
          3      .0         0.0          .0          .0        0.0         .0          .0        .0       
          4      .0         0.0          .0          .0        0.0         .0          .0        .0       
          5      .0         0.0          .0          .0        0.0         .0          .0        .0    
          6      .0         0.0          .0          .0        0.0         .0          .0        .0        
                                        FEMALES
 TOTAL STROKE in persons with no CVD (FHS from Wolf 1991, male SBP Guzman 2009; CKD=Kaiser/Go CVD, IDBP China/Kelly)
 	          SBP       LDL           SMOK       HDL    AntiHTNMed     Diabetes    IsoDBP     CKD
          1      .0433      0.0          .0223       .0         .0         .7847       .0312     .4536 
          2      .0420      0.0          .0223       .00        .0         .7847       .0312     .3728
          3      .0358      0.0          .0223       .00        .0         .7847       .0312     .4435
          4      .0267      0.0          .0223       .00        .0         .7847       .0312     .4812
          5      .0159      0.0          .0223       .00        .0         .7847       .0312     .4598
          6      .0159      0.0          .0223       .00        .0         .7847       .0312     .4598

               HEMORRHAGIC STROKE in persons with no CVD (U.S. Betas)                  
 	          SBP       LDL           SMOK       HDL    AntiHTNMed   Diabetes     IsoDBP       CKD
          1      .0         0.0          .0          .0        0.0         .0          .0        .0       
          2      .0         0.0          .0          .0        0.0         .0          .0        .0       
          3      .0         0.0          .0          .0        0.0         .0          .0        .0       
          4      .0         0.0          .0          .0        0.0         .0          .0        .0       
          5      .0         0.0          .0          .0        0.0         .0          .0        .0       
          6      .0         0.0          .0          .0        0.0         .0          .0        .0 















