                                   TABLE STROKE BETA
                                         MALES
                 TOTAL/ISCHEMIC STROKE in persons with no CVD (U.S. Betas)
         AGE      SBP       LDL           SMOK       HDL       BMI         Diabetes   Meds   

          1      .0215      0.0051       .0223       -0.0081    0.0         .7847      0.0
          2      .0196      0.0051       .0223       -0.0081    0.0         .7847      0.0
          3      .0178      0.0051       .0223       -0.0081    0.0         .7847      0.0
          4      .0159      0.0051       .0223       -0.0081    0.0         .7847      0.0
          5      .0140      0.0051       .0223       -0.0081    0.0         .7847      0.0
          6      .0122      0.0051       .0223       -0.0081    0.0         .7847      0.0

                    HEMORRHAGIC STROKE in persons with no CVD (U.S. Betas)                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes
          1      .0         0.0          .0          .0        0.0         .0         0.0     
          2      .0         0.0          .0          .0        0.0         .0         0.0    
          3      .0         0.0          .0          .0        0.0         .0         0.0     
          4      .0         0.0          .0          .0        0.0         .0         0.0
          5      .0         0.0          .0          .0        0.0         .0         0.0
          6      .0         0.0          .0          .0        0.0         .0         0.0
                                        FEMALES
                   TOTAL/ISCHEMIC STROKE in persons with no CVD (U.S. Betas) 
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes
          1      .0215      0.0051       .0223       -0.0081    0.0         .7847      0.0
          2      .0196      0.0051       .0223       -0.0081    0.0         .7847      0.0
          3      .0178      0.0051       .0223       -0.0081    0.0         .7847      0.0
          4      .0159      0.0051       .0223       -0.0081    0.0         .7847      0.0
          5      .0140      0.0051       .0223       -0.0081    0.0         .7847      0.0
          6      .0122      0.0051       .0223       -0.0081    0.0         .7847      0.0

                    HEMORRHAGIC STROKE in persons with no CVD (U.S. Betas)                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes
          1      .0         0.0          .0          .0        0.0         .0         0.0     
          2      .0         0.0          .0          .0        0.0         .0         0.0    
          3      .0         0.0          .0          .0        0.0         .0         0.0     
          4      .0         0.0          .0          .0        0.0         .0         0.0
          5      .0         0.0          .0          .0        0.0         .0         0.0
          6      .0         0.0          .0          .0        0.0         .0         0.0














