                 TABLE POP2000


          AGE      MALE       FEMALE
          
          35    12702898.    11754263.
          36    12357245.    12151460.
          37    12710031.    12873062.
          38    13685197.     7660808.
          39     7968918.     5560838.
          40     5716818.     6809464.
          41     7337214.     6726841.
          42     7332881.     8898342.
          43     9728188.     8663459.
          44     9246428.     8367655.
          45     8830906.     9141075.
          46     9728188.     8690667.
          47     9115981.     8166514.
          48     8533097.     7984285.
          49     8347524.     6855841.
          50     7161080.     7092043.
          51     7657884.     6012470.
          52     6450509.     5696075.
          53     6126600.     5474985.
          54     5878210.     5069616.
          55     5342607.     4761788.
          56     5080047.     4474383.
          57     4830438.     4226017.
          58     4548461.     4315994.
          59     4602892.     4215672.
          60     4522412.     4067997.
          61     4314012.     3881304.
          62     4138048.     3949497.
          63     4231804.     3888083.
          64     4071058.     3887496.
          65     3961317.     3746404.
          66     3731913.     3663387.
          67     3680075.     3534120.
          68     3517372.     3176138.
          69     3103520.     3022562.
          70     2937155.     3031788.
          71     2844200.     2699807.
          72     2441027.     2665237.
          73     2372073.     2293651.
          74     1993278.     2154575.
          75     1800436.     2195169.
          76     1713313.     1954162.
          77     1483675.     1645618.
          78     1209567.     1540371.
          79     1096835.     1387043.
          80      941476.     1287166.
          81      825288.     1025374.
          82      623427.      913227.
          83      530749.      803258.
          84      444075.      696875.
          85      359466.      584457.
          86      284566.      514018.
          87      236319.      383956.
          88      163891.      303828.
          89      120838.      240888.
          90       87852.      202080.
          91       66167.      149064.
          92       44303.      109101.
          93       29731.       79086.
          94       19420.       59494.
