	TABLE DIABETES INCIDENCE
 Diabetes Incidence from TRAN6SBD 12/6/12 Force 75+ >0 x1.04

 AGE      MALE       FEMALE

 40      .004680     .004260
 50      .008010     .006140
 60      .013420     .008220
 70      .006030     .007380
 80      .000520     .001250
 90      .000520     .000520

        DUMMY

 AGE      MALE       FEMALE

 40      .000000     .000000
 50      .000000     .000000
 60      .000000     .000000
 70      .000000     .000000
 80      .000000     .000000
 90      .000000     .000000
