
                 TABLE M35 Census 2000 projections to 2050 downloaded 5/18/04

           YEAR       MALE     FEMALE

          2001     12702898.    12055011.
          2002     12389094.    10932090.
          2003     12521827.    11735205.
          2004     13764163.    13065102.
          2005     13149400.    12564667.
          2006     13236969.    12368116.
          2007     12317627.    11634067.
          2008     11646067.    11646067.
          2009     11503094.    11132997.
          2010     10587460.    10217905.
          2011     10003553.     9626462.
          2012      9461310.     9090618.
          2013      9201776.     8851939.
          2014      9437871.     9046089.
          2015      9416390.     8979101.
          2016      9086373.     8576822.
          2017     12043428.    11430496.
          2018     10044172.     9746499.
          2019      9830067.     9448556.
          2020      9867333.     9354966.
          2021     10989583.    10448874.
          2022     13056164.    12418353.
          2023     12360313.    11697069.
          2024     12598862.    11808453.
          2025     13412158.    12202202.
          2026     11011614.    10219689.
          2027     10443485.     9641889.
          2028     10168950.     9338966.
          2029     10181505.     9300104.
          2030     10052332.     9133195.
          2031      9991974.     9030037.
          2032      9976675.     8969147.
          2033      9705835.     8682193.
          2034      9235442.     8222324.
          2035      8850137.     7844256.
          2036      8553114.     7583978.
          2037      8246714.     7349260.
          2038      8185677.     7349260.
          2039      8288758.     7453081.
          2040      8388117.     7573449.
          2041      8532369.     7734292.
          2042      8692013.     7909752.
          2043      8903689.     8133286.
          2044      9149311.     8388938.
          2045      9400863.     8651530.
          2046      9614766.     8881160.
          2047      9741427.     9031752.
          2048      9771387.     9093658.
          2049      9726521.     9086166.
          2050      9620621.     9021252.
          2051      9620621.     9021252.
          2052      9620621.     9021252.
          2053      9620621.     9021252.
          2054      9620621.     9021252.
          2055      9620621.     9021252.
          2056      9620621.     9021252.
          2057      9620621.     9021252.
          2058      9620621.     9021252.
          2059      9620621.     9021252.
          2060      9620621.     9021252.
          2061      9620621.     9021252.
          2062      9620621.     9021252.
          2063      9620621.     9021252.
          2064      9620621.     9021252.
          2065      9620621.     9021252.
          2066      9620621.     9021252.
          2067      9620621.     9021252.
          2068      9620621.     9021252.
          2069      9620621.     9021252.
          2070      9620621.     9021252.
          2071      9620621.     9021252.
          2072      9620621.     9021252.
          2073      9620621.     9021252.
          2074      9620621.     9021252.
          2075      9620621.     9021252.
          2076      9620621.     9021252.
          2077      9620621.     9021252.
          2078      9620621.     9021252.
          2079      9620621.     9021252.
          2080      9620621.     9021252.
          2081      9620621.     9021252.
          2082      9620621.     9021252.
          2083      9620621.     9021252.
          2084      9620621.     9021252.
          2085      9620621.     9021252.
          2086      9620621.     9021252.
          2087      9620621.     9021252.
          2088      9620621.     9021252.
          2089      9620621.     9021252.
          2090      9620621.     9021252.
          2091      9620621.     9021252.
          2092      9620621.     9021252.
          2093      9620621.     9021252.
          2094      9620621.     9021252.
          2095      9620621.     9021252.
          2096      9620621.     9021252.
          2097      9620621.     9021252.
          2098      9620621.     9021252.
          2099      9620621.     9021252.
          2100      9620621.     9021252.

