                         TABLE PRFP
                            MALE
                            SBP0508
         AGE     <130      130-<140     >=140

          1      .668      .176      .156
          2      .593      .149      .258
          3      .477      .210      .313
          4      .426      .251      .324
          5      .510      .175      .314
          6      .739      .146      .115

                           LDL0508
         AGE     <100     100-<130   >=130

          1      .321      .273      .406
          2      .234      .332      .434
          3      .280      .307      .412
          4      .478      .276      .246
          5      .607      .261      .132
          6      .393      .229      .378
 
                           SMOK0508 
         AGE       NO       ETS       YES

          1      .344      .322      .335
          2      .281      .329      .390
          3      .294      .404      .301
          4      .330      .422      .248
          5      .492      .388      .120
          6      .294      .357      .348

                            HDL0508
         AGE      <40      40-<60     >=60

          1      .214      .649      .136
          2      .115      .606      .279
          3      .165      .547      .287
          4      .145      .527      .328
          5      .135      .620      .245
          6      .215      .598      .187

                            BMI0508
         AGE      <25       25-<30      >=30

          1      .223      .357      .420
          2      .295      .351      .354
          3      .235      .381      .384
          4      .230      .379      .391
          5      .311      .338      .351
          6      .253      .354      .393

                          Diabetes0508
         AGE      Yes       No       Fill

          1      .122      .878      .0
          2      .225      .775      .0
          3      .305      .695      .0
          4      .447      .553      .0
          5      .332      .668      .0
          6      .081      .919      .0
                          FEMALES
                            SBP0508
         AGE     <130      130-<140     >=140

          1      .762      .139      .099
          2      .628      .144      .228
          3      .399      .171      .431
          4      .393      .186      .420
          5      .343      .227      .430
          6      .832      .101      .066

                           LDL0508
         AGE     <100     100-<130   >=130

          1      .469      .302      .229
          2      .288      .367      .345
          3      .251      .285      .465
          4      .378      .260      .361
          5      .344      .414      .243
          6      .457      .348      .195

                           SMOK0508 
         AGE       NO       ETS       YES

          1      .413      .344      .243
          2      .398      .371      .231
          3      .424      .370      .206
          4      .490      .415      .095
          5      .566      .331      .103
          6      .396      .391      .212

                            HDL0508
         AGE      <40      40-<60     >=60

          1      .061      .496      .443
          2      .090      .455      .455
          3      .059      .512      .429
          4      .060      .439      .500
          5      .044      .407      .549
          6      .069      .498      .433
 
                           BMI0508
         AGE      <25       25-<30      >=30

          1      .213      .308      .478
          2      .196      .291      .513
          3      .170      .207      .623
          4      .134      .225      .641
          5      .349      .237      .414
          6      .225      .306      .469
 
                         Diabetes0508
         AGE      Yes       No      Fill

          1      .084      .916      .0
          2      .203      .797      .0
          3      .405      .595      .0
          4      .373      .627      .0
          5      .503      .497      .0
          6      .060      .940      .0
