                         TABLE PRFP
                            MALE
                            SBP_FHS88+
         AGE     <130      130-<140     >=140

          1      .768      .140      .092
          2      .665      .202      .133
          3      .489      .246      .265
          4      .285      .230      .485
          5      .253      .226      .521
          6      .339      .216      .445
          7      .819      .123      .058

                           LDL_FHS88+
         AGE     <100     100-<130   >=130

          1      .188      .363      .449
          2      .155      .323      .522
          3      .157      .355      .488
          4      .188      .352      .460
          5      .406      .363      .231
          6      .631      .262      .107
          7      .241      .346      .413
 
                           SMOK_FHS88+ 
         AGE       NO       ETS       YES

          1      .325      .375      .300
          2      .363      .370      .267
          3      .404      .400      .196
          4      .471      .400      .129
          5      .584      .321      .095
          6      .630      .321      .049
          7      .298      .375      .327

                            HDL_FHS88+
         AGE      <40      40-<60     >=60

          1      .375      .549      .076
          2      .417      .505      .078
          3      .438      .466      .096
          4      .458      .450      .092
          5      .502      .401      .097
          6      .409      .480      .111
          7      .329      .563      .108

                            BMI_FHS88+
         AGE      <25       25-<30      >=30

          1      .271      .509      .220
          2      .183      .525      .292
          3      .181      .519      .300
          4      .218      .521      .261
          5      .358      .455      .187
          6      .438      .414      .148
          7      .344      .463      .193

                          Diabetes_FHS88+
         AGE      Yes       No       Fill

          1      .024      .976      .0
          2      .073      .927      .0
          3      .134      .866      .0
          4      .213      .787      .0
          5      .213      .787      .0
          6      .200      .800      .0
          7      .018      .982      .0
                          FEMALES
                            SBP_FHS88+
         AGE     <130      130-<140     >=140

          1      .877      .078      .045
          2      .755      .129      .116
          3      .555      .194      .251
          4      .329      .217      .454
          5      .236      .203      .561
          6      .329      .184      .487
          7      .924      .054      .022

                           LDL_FHS88+
         AGE     <100     100-<130   >=130

          1      .339      .388      .273
          2      .238      .357      .405
          3      .136      .326      .538
          4      .139      .308      .553
          5      .323      .346      .331
          6      .411      .338      .251
          7      .377      .402      .221

                           SMOK_FHS88+ 
         AGE       NO       ETS       YES

          1      .433      .257      .310
          2      .439      .309      .252
          3      .506      .284      .210
          4      .527      .300      .173
          5      .632      .263      .105
          6      .678      .279      .043
          7      .441      .257      .302      

                            HDL_FHS88+
         AGE      <40      40-<60     >=60

          1      .113      .517      .370
          2      .104      .510      .386
          3      .140      .493      .367
          4      .152      .516      .332
          5      .153      .536      .311
          6      .147      .527      .326
          7      .110      .520      .370
 
                           BMI_FHS88+
         AGE      <25       25-<30      >=30

          1      .600      .233      .167
          2      .463      .324      .213
          3      .394      .355      .251
          4      .389      .363      .248
          5      .389      .388      .223
          6      .475      .378      .147
          7      .636      .221      .143
 
                         Diabetes_FHS88+
         AGE      Yes       No      Fill

          1      .021      .979      .0
          2      .049      .951      .0
          3      .087      .913      .0
          4      .117      .883      .0
          5      .130      .870      .0
          6      .132      .868      .0
          7      .018      .982      .0
