                    TABLE POP86


          AGE      MALE       FEMALE
          
          35     2004868.     1948797.
          36     1937789.     1893540.
          37     1974363.     1941060.
          38     2065178.     2032903.
          39     2167832.     2151878.
          40     2216224.     2181696.
          41     2087386.     2068616.
          42     2041376.     2034360.
          43     2037432.     2044492.
          44     2093334.     2098984.
          45     2231382.     2241430.
          46     2249282.     2286260.
          47     2231666.     2283787.
          48     2236612.     2287806.
          49     2247828.     2316158.
          50     2294161.     2345219.
          51     2185082.     2259892.
          52     2180694.     2257676.
          53     2142392.     2235404.
          54     2050763.     2148645.
          55     2059920.     2149114.
          56     1952597.     2064307.
          57     1877557.     1995492.
          58     1807962.     1924382.
          59     1747363.     1874786.
          60     1737223.     1862058.
          61     1657383.     1792670.
          62     1630240.     1770854.
          63     1697402.     1848021.
          64     1251449.     1383151.
          65      000000.     0000000.
          66      000000.     0000000.
          67      000000.     0000000.
          68      000000.     0000000.
          69      000000.     0000000.
          70      000000.     0000000.
          71      000000.      000000.
          72      000000.      000000.
          73      000000.      000000.
          74      000000.      000000.
          75      000000.      000000.
          76      000000.      000000.
          77      000000.      000000.
          78      000000.      000000.
          79      000000.      000000.
          80      000000.      000000.
          81      000000.      000000.
          82      000000.      000000.
          83      000000.      000000.
          84      000000.      000000.

