                    TABLE POP86


          AGE      MALE       FEMALE
          
          35     0000000.     0000000.
          36     0000000.     0000000.
          37     0000000.     0000000.
          38     0000000.     0000000.
          39     0000000.     0000000.
          40     0000000.     0000000.
          41     0000000.     0000000.
          42     0000000.     0000000.
          43     0000000.     0000000.
          44     0000000.     0000000.
          45     0000000.     0000000.
          46     0000000.     0000000.
          47     0000000.     0000000.
          48     0000000.     0000000.
          49     0000000.     0000000.
          50     0000000.     0000000.
          51     0000000.     0000000.
          52     0000000.     0000000.
          53     0000000.     0000000.
          54     0000000.     0000000.
          55     0000000.     0000000.
          56     0000000.     0000000.
          57     0000000.     0000000.
          58     0000000.     0000000.
          59     0000000.     0000000.
          60     0000000.     0000000.
          61     0000000.     0000000.
          62      000000.     0000000.
          63      000000.     0000000.
          64      000000.     0000000.
          65      000000.     0000000.
          66      000000.     0000000.
          67      000000.     0000000.
          68      000000.     0000000.
          69      000000.     0000000.
          70      000000.     0000000.
          71      000000.      000000.
          72      000000.      000000.
          73      000000.      000000.
          74      000000.      000000.
          75      000000.      000000.
          76      000000.      000000.
          77      000000.      000000.
          78      000000.      000000.
          79      000000.      000000.
          80      000000.      000000.
          81      000000.      000000.
          82      000000.      000000.
          83      000000.      000000.
          84      000000.      000000.

