                      TABLE RSKAVE
                          MALE
                           SBP_FHS88+
         AGE     <130      130-<140    >=140

          1      115.9      133.4      148.3
          2      117.8      134.2      150.5
          3      119.5      134.6      152.3
          4      119.8      134.8      154.5
          5      120.6      134.8      155.1
          6      117.1      135.3      153.0

                           LDLAVE_FHS88+
         AGE      <100     100-<130    >=130

          1       84.4      115.5      156.4
          2       83.0      116.5      156.2
          3       83.4      116.2      156.0
          4       81.2      115.9      153.3
          5       80.9      114.5      149.3
          6       81.0      111.5      142.2

                            SMOKAVE_FHS88+
         AGE       NO         ETS       YES

          1        0.0        4.0     12.751
          2        0.0        5.0     15.415
          3        0.0        6.0     15.924
          4        0.0        9.0     13.521
          5        0.0       15.0     16.569

                              HDL_FHS88+
         AGE      <40       40-<60       >=60

          1       34.0       47.3       66.8
          2       33.1       47.4       66.4
          3       33.3       47.3       68.5
          4       32.6       47.5       68.4
          5       32.3       47.5       69.9
          6       32.9       47.1       72.9
                     
                           BMI_FHS88+ 
         AGE      <25       25-<30      >=30

          1       23.2       27.3       33.3
          2       23.2       27.4       33.3
          3       23.3       27.5       33.1
          4       23.1       27.3       32.7
          5       23.0       27.4       32.4
          6       22.8       26.8       31.8

                          Diabetes_FHS88+
         AGE       Yes        No        Fill

          1        1.0        0.0        0.0
          2        1.0        0.0        0.0
          3        1.0        0.0        0.0
          4        1.0        0.0        0.0
          5        1.0        0.0        0.0
          6        1.0        0.0        0.0
                        FEMALES
                           SBP_FHS88+
         AGE     <130      130-<140    >=140

          1      109.3      134.5      150.5
          2      113.3      133.9      149.8
          3      116.9      134.7      153.2
          4      119.3      134.7      155.2
          5      120.5      134.7      156.8
          6      118.6      134.7      156.1

                           LDLAVE_FHS88+
         AGE      <100     100-<130    >=130

          1       82.6      114.4      153.4
          2       83.5      114.7      156.8
          3       84.1      116.0      159.4
          4       84.9      116.8      156.7
          5       80.3      114.1      155.3
          6       78.3      114.5      145.3

                           SMOKAVE_FHS88+
         AGE        NO        ETS       YES

          1        0.0        1.0     12.577
          2        0.0        2.0     12.567
          3        0.0        3.0     14.344
          4        0.0        7.0     10.847
          5        0.0       17.0     11.660

                           HDL_FHS88+
         AGE      <40       40-<60       >=60

          1       34.8       49.8       69.6
          2       34.7       50.2       71.6
          3       34.8       49.8       73.1
          4       34.6       49.3       72.6
          5       34.0       49.4       72.8
          6       33.3       49.6       73.1

                           BMI_FHS88+ 
         AGE      <25       25-<30      >=30

          1       22.1       27.1       35.5
          2       22.4       27.2       34.9
          3       22.6       27.2       34.8
          4       22.4       27.3       34.5
          5       22.3       27.3       33.6
          6       21.9       27.5       33.0
                           
                           Diabetes_FHS88+
         AGE       Yes        No        Fill

          1        1.0        0.0       0.0
          2        1.0        0.0       0.0
          3        1.0        0.0       0.0 
          4        1.0        0.0       0.0
          5        1.0        0.0       0.0
          6        1.0        0.0       0.0

