                     SHORT TERM QUALITY ADJUSTED LIFE YEARS

                                    MALES
                                    STATES
AGE      ANG      REVSC     MI      ARR   REVSC+MI REVSC+ARR MI+ARR  REVSC+MI+ARR
35-44   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
45-54   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
55-64   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
65-74   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
75-84   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000


                                   FEMALES
                                    STATES
AGE      ANG      REVSC     MI      ARR   REVSC+MI REVSC+ARR MI+ARR  REVSC+MI+ARR
35-44   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
45-54   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
55-64   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
65-74   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
75-84   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.000
