                                   TABLE DIABETES BETA
                                         MALES
            DIABETES in persons with no CVD (FHS Betas; MF75-84 = 1/2 MF65-74 Biggs JAMA2010)
         AGE      SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS   

          1      .04        0.0          .0          .0        0.222       .0          .04
          2      .04        0.0          .0          .0        0.171       .0          .04
          3      .04        0.0          .0          .0        0.161       .0          .04
          4      .04        0.0          .0          .0        0.153       .0          .04
          5      .04        0.0          .0          .0        0.076       .0          .04
          6      .04        0.0          .0          .0        0.076       .0          .04

                    DUMMY ARRAY                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1      .0         0.0          .0          .0        0.0         .0          .0     
          2      .0         0.0          .0          .0        0.0         .0          .0    
          3      .0         0.0          .0          .0        0.0         .0          .0     
          4      .0         0.0          .0          .0        0.0         .0          .0
          5      .0         0.0          .0          .0        0.0         .0          .0
          6      .0         0.0          .0          .0        0.0         .0          .0
                                        FEMALES
            DIABETES in persons with no CVD 
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1      .0         0.0          .0          .0        0.222       .0          .04
          2      .0         0.0          .0          .0        0.171       .0          .04
          3      .0         0.0          .0          .0        0.161       .0          .04
          4      .0         0.0          .0          .0        0.153       .0          .04
          5      .0         0.0          .0          .0        0.076       .0          .04
          6      .0         0.0          .0          .0        0.076       .0          .04

                    DUMMY ARRAY                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1      .0         0.0          .0          .0        0.0         .0          .0     
          2      .0         0.0          .0          .0        0.0         .0          .0    
          3      .0         0.0          .0          .0        0.0         .0          .0     
          4      .0         0.0          .0          .0        0.0         .0          .0
          5      .0         0.0          .0          .0        0.0         .0          .0
          6      .0         0.0          .0          .0        0.0         .0          .0








