                                   TABLE DIABETES BETA
                                         MALES
            DIABETES in persons with no CVD (FHS Betas; MF75-84 = 1/2 MF65-74 Biggs JAMA2010)
         AGE      SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS   

          1    0.000000    0.000000    0.000000    0.000000    0.222000    0.000000    0.090000
          2    0.000000    0.000000    0.000000    0.000000    0.171000    0.000000    0.090000
          3    0.000000    0.000000    0.000000    0.000000    0.161000    0.000000    0.090000
          4    0.000000    0.000000    0.000000    0.000000    0.153000    0.000000    0.090000
          5    0.000000    0.000000    0.000000    0.000000    0.076000    0.000000    0.090000
          6    0.000000    0.000000    0.000000    0.000000    0.076000    0.000000    0.090000

                    DUMMY ARRAY                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1      .0         0.0          .0          .0        0.0         .0          .0     
          2      .0         0.0          .0          .0        0.0         .0          .0    
          3      .0         0.0          .0          .0        0.0         .0          .0     
          4      .0         0.0          .0          .0        0.0         .0          .0
          5      .0         0.0          .0          .0        0.0         .0          .0
          6      .0         0.0          .0          .0        0.0         .0          .0
                                        FEMALES
            DIABETES in persons with no CVD 
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1    0.000000    0.000000    0.000000    0.000000    0.222000    0.000000    0.090000
          2    0.000000    0.000000    0.000000    0.000000    0.171000    0.000000    0.090000
          3    0.000000    0.000000    0.000000    0.000000    0.161000    0.000000    0.090000
          4    0.000000    0.000000    0.000000    0.000000    0.153000    0.000000    0.090000
          5    0.000000    0.000000    0.000000    0.000000    0.076000    0.000000    0.090000
          6    0.000000    0.000000    0.000000    0.000000    0.076000    0.000000    0.090000

                    DUMMY ARRAY                  
 	          SBP       LDL           SMOK       HDL       BMI         Diabetes   MEDS
          1      .0         0.0          .0          .0        0.0         .0          .0     
          2      .0         0.0          .0          .0        0.0         .0          .0    
          3      .0         0.0          .0          .0        0.0         .0          .0     
          4      .0         0.0          .0          .0        0.0         .0          .0
          5      .0         0.0          .0          .0        0.0         .0          .0
          6      .0         0.0          .0          .0        0.0         .0          .0








