	TABLE DIABETES INCIDENCE
 Diabetes Incidence from TRAN6SBD 12/6/12 Force 75+ >0

 AGE      MALE       FEMALE

 40      .000500     .000500
 50      .000500     .000500
 60      .000500     .000500
 70      .000500     .000500
 80      .000500     .000500
 90      .000500     .000500

        DUMMY

 AGE      MALE       FEMALE

 40      .000000     .000000
 50      .000000     .000000
 60      .000000     .000000
 70      .000000     .000000
 80      .000000     .000000
 90      .000000     .000000
