                         QUALITY ADJUSTED LIFE YEARS
 **********MI Port & BDHOS DATA - ASSUMES .92 AS BASE LIFE YEAR***********
                                    MALES
                                    STATES
AGE      ANG      REVSC     MI      ARR   REVSC+MI REVSC+ARR MI+ARR  REVSC+MI+ARR
35-44   0.8410   0.8715   0.8876   0.8410   0.8948   0.8715   0.8876   0.8948
45-54   0.8410   0.8715   0.8821   0.8410   0.8905   0.8715   0.8821   0.8905
55-64   0.8368   0.8674   0.8761   0.8368   0.8859   0.8674   0.8761   0.8859
65-74   0.8324   0.8630   0.8680   0.8324   0.8787   0.8630   0.8680   0.8787
75-84   0.8320   0.8626   0.8691   0.8320   0.8775   0.8626   0.8691   0.8775


                                   FEMALES
                                    STATES
AGE      ANG      REVSC     MI      ARR   REVSC+MI REVSC+ARR MI+ARR  REVSC+MI+ARR
35-44   0.8410   0.8715   0.9020   0.8410   0.9020   0.8715   0.9020   0.9020
45-54   0.8410   0.8715   0.8984   0.8410   0.9002   0.8715   0.8984   0.9002
55-64   0.8365   0.8671   0.8726   0.8365   0.8820   0.8671   0.8726   0.8820
65-74   0.8340   0.8647   0.8681   0.8340   0.8764   0.8647   0.8681   0.8764
75-84   0.8283   0.8590   0.8654   0.8283   0.8719   0.8590   0.8654   0.8719
