                    TABLE COHORT 55-64


          AGE      MALE       FEMALE
          
          35     0000000.     0000000.
          36     0000000.     0000000.
          37     0000000.     0000000.
          38     0000000.     0000000.
          39     0000000.     0000000.
          40     0000000.     0000000.
          41     0000000.     0000000.
          42     0000000.     0000000.
          43     0000000.     0000000.
          44     0000000.     0000000.
          45     0000000.     0000000.
          46     0000000.     0000000.
          47     0000000.     0000000.
          48     0000000.     0000000.
          49     0000000.     0000000.
          50     0000000.     0000000.
          51     0000000.     0000000.
          52     0000000.     0000000.
          53     0000000.     0000000.
          54     0000000.     0000000.
          55     2074993.     2183315.
          56     1984412.     2108341.
          57     1909850.     2036165.
          58     1838732.     1963502.
          59     1779654.     1914551.
          60     1742017.     1874156.
          61     1691248.     1828468.
          62     1679063.     1815906.
          63     1753537.     1897874.
          64     1291794.     1413941.
          65      000000.     0000000.
          66      000000.     0000000.
          67      000000.     0000000.
          68      000000.     0000000.
          69      000000.     0000000.
          70      000000.     0000000.
          71      000000.      000000.
          72      000000.      000000.
          73      000000.      000000.
          74      000000.      000000.
          75      000000.      000000.
          76      000000.      000000.
          77      000000.      000000.
          78      000000.      000000.
          79      000000.      000000.
          80      000000.      000000.
          81      000000.      000000.
          82      000000.      000000.
          83      000000.      000000.
          84      000000.      000000.
          85      000000.      000000.
          86      000000.      000000.
          87      000000.      000000.
          88      000000.      000000.
          89      000000.      000000.
          90      000000.      000000.
          91      000000.      000000.
          92      000000.      000000.
          93      000000.      000000.
          94      000000.      000000.

