                         TABLE PRFP
                            MALE
                            SBP_MEXICO
         AGE     <130      130-<140     >=140

          1      .724      .208      .068
          2      .605      .269      .126
          3      .481      .330      .189
          4      .387      .315      .298
          5      .395      .326      .279
          6      .530      .204      .266
          7      .738      .213      .049

                           LDL_MEXICO
         AGE     <100     100-<130   >=130

          1      .645      .227      .128
          2      .574      .221      .205
          3      .577      .173      .250
          4      .563      .215      .222
          5      .541      .297      .162
          6      .567      .181      .252
          7      .660      .212      .128
 
                           SMOK_MEXICO 
         AGE       NO       ETS       YES

          1      .451      .300      .249
          2      .475      .300      .225
          3      .497      .300      .203
          4      .519      .300      .181
          5      .564      .300      .136
          6      .564      .300      .136
          7      .459      .300      .241

                            HDL_MEXICO
         AGE      <40      40-<60     >=60

          1      .465      .429      .106
          2      .377      .557      .066
          3      .345      .535      .120
          4      .426      .488      .086
          5      .411      .540      .049
          6      .229      .566      .205
          7      .423      .466      .111

                            BMI_MEXICO
         AGE      <25       25-<30      >=30

          1      .248      .464      .288
          2      .243      .477      .280
          3      .274      .445      .281
          4      .374      .435      .191
          5      .433      .433      .134
          6      .573      .341      .086
          7      .286      .460      .254

                          Diabetes_MEXICO
         AGE      Yes       No       Fill

          1      .120      .880      .0
          2      .299      .701      .0
          3      .373      .627      .0
          4      .318      .682      .0
          5      .189      .811      .0
          6      .068      .932      .0
          7      .092      .908      .0
                          FEMALES
                            SBP_MEXICO
         AGE     <130      130-<140     >=140

          1      .821      .134      .045
          2      .643      .235      .122
          3      .472      .320      .208
          4      .371      .308      .321
          5      .396      .354      .250
          6      .405      .285      .310
          7      .871      .106      .023

                           LDL_MEXICO
         AGE     <100     100-<130   >=130

          1      .581      .255      .164
          2      .458      .298      .244
          3      .464      .300      .236
          4      .490      .212      .298
          5      .465      .302      .233
          6      .642      .227      .131
          7      .582      .260      .158

                           SMOK_MEXICO 
         AGE       NO       ETS       YES

          1      .683      .250      .067
          2      .651      .250      .099
          3      .668      .250      .082
          4      .687      .250      .063
          5      .720      .250      .030
          6      .720      .250      .030
          7      .675      .250      .075

                            HDL_MEXICO
         AGE      <40      40-<60     >=60

          1      .325      .520      .155
          2      .214      .594      .192
          3      .241      .544      .215
          4      .311      .487      .202
          5      .196      .449      .355
          6      .421      .363      .216
          7      .338      .506      .156
 
                           BMI_MEXICO
         AGE      <25       25-<30      >=30

          1      .214      .385      .401
          2      .177      .374      .449
          3      .175      .372      .453
          4      .244      .381      .375
          5      .409      .366      .225
          6      .603      .282      .115
          7      .261      .397      .342
 
                         Diabetes_MEXICO
         AGE      Yes       No      Fill

          1      .104      .896      .0
          2      .205      .795      .0
          3      .339      .661      .0
          4      .357      .643      .0
          5      .197      .803      .0
          6      .190      .810      .0
          7      .076      .924      .0
