                         TABLE PRFP
                            MALE
                            SBP_MEXICO
         AGE     <130      130-<140     >=140

          1      .723      .208      .068
          2      .606      .269      .126
          3      .481      .330      .189
          4      .387      .315      .298
          5      .395      .326      .279
          6      .530      .204      .266
          7      .739      .213      .049

                           LDL_MEXICO
         AGE     <100     100-<130   >=130

          1      .644      .227      .128
          2      .574      .221      .205
          3      .576      .173      .250
          4      .564      .215      .222
          5      .541      .297      .162
          6      .567      .181      .252
          7      .659      .212      .128
 
                           SMOK_MEXICO 
         AGE       NO       ETS       YES

          1      .751      .000      .249
          2      .775      .000      .225
          3      .797      .000      .203
          4      .819      .000      .181
          5      .864      .000      .136
          6      .864      .000      .136
          7      .760      .000      .241

                            HDL_MEXICO
         AGE      <40      40-<60     >=60

          1      .465      .429      .106
          2      .377      .557      .066
          3      .345      .536      .120
          4      .426      .488      .086
          5      .411      .540      .049
          6      .229      .567      .205
          7      .423      .465      .111

                            BMI_MEXICO
         AGE      <25       25-<30      >=30

          1      .248      .464      .288
          2      .243      .477      .280
          3      .274      .445      .281
          4      .374      .434      .191
          5      .433      .433      .134
          6      .573      .341      .086
          7      .286      .460      .254

                          Diabetes_MEXICO
         AGE      Yes       No       Fill

          1      .120      .880      .0
          2      .299      .701      .0
          3      .373      .627      .0
          4      .318      .682      .0
          5      .189      .811      .0
          6      .068      .932      .0
          7      .092      .908      .0
                          FEMALES
                            SBP_MEXICO
         AGE     <130      130-<140     >=140

          1      .821      .134      .045
          2      .643      .235      .122
          3      .472      .320      .208
          4      .371      .308      .321
          5      .396      .354      .250
          6      .405      .285      .310
          7      .871      .106      .023

                           LDL_MEXICO
         AGE     <100     100-<130   >=130

          1      .582      .255      .164
          2      .458      .298      .244
          3      .465      .300      .236
          4      .490      .212      .298
          5      .465      .302      .233
          6      .642      .227      .131
          7      .582      .260      .158

                           SMOK_MEXICO 
         AGE       NO       ETS       YES

          1      .933      .000      .067
          2      .901      .000      .099
          3      .918      .000      .082
          4      .937      .000      .063
          5      .970      .000      .030
          6      .970      .000      .030
          7      .925      .000      .075

                            HDL_MEXICO
         AGE      <40      40-<60     >=60

          1      .325      .520      .155
          2      .214      .594      .192
          3      .241      .545      .215
          4      .311      .488      .202
          5      .196      .449      .355
          6      .421      .363      .216
          7      .338      .505      .156
 
                           BMI_MEXICO
         AGE      <25       25-<30      >=30

          1      .214      .385      .400
          2      .177      .374      .448
          3      .175      .372      .453
          4      .244      .381      .375
          5      .409      .366      .225
          6      .603      .282      .115
          7      .261      .396      .342
 
                         Diabetes_MEXICO
         AGE      Yes       No      Fill

          1      .104      .896      .0
          2      .205      .795      .0
          3      .339      .661      .0
          4      .357      .643      .0
          5      .197      .803      .0
          6      .190      .810      .0
          7      .076      .924      .0
