                         TABLE PRFP
                            MALE
                            SBP0508
         AGE     <130      130-<140     >=140

          1      .791      .128      .081
          2      .703      .154      .143
          3      .587      .183      .230
          4      .491      .218      .291
          5      .458      .211      .331
          6      .458      .211      .331
          7      .810      .122      .068

                           LDL0508
         AGE     <100     100-<130   >=130

          1      .268      .360      .372
          2      .217      .346      .437
          3      .279      .363      .358
          4      .442      .308      .250
          5      .504      .276      .220
          6      .504      .276      .220
          7      .303      .353      .344
 
                           SMOK0508 
         AGE       NO       ETS       YES

          1      .378      .329      .293
          2      .386      .325      .289
          3      .418      .349      .233
          4      .517      .353      .130
          5      .607      .344      .049
          6      .607      .344      .049
          7      .348      .337      .315

                            HDL0508
         AGE      <40      40-<60     >=60

          1      .333      .521      .146
          2      .292      .535      .173
          3      .247      .572      .181
          4      .257      .542      .201
          5      .190      .605      .205
          6      .190      .605      .205
          7      .338      .519      .143

                            BMI0508
         AGE      <25       25-<30      >=30

          1      .218      .431      .351
          2      .233      .412      .355
          3      .199      .401      .400
          4      .209      .432      .359
          5      .289      .450      .261
          6      .289      .450      .261
          7      .289      .401      .310

                          Diabetes0508
         AGE      Yes       No       Fill

          1      .081      .919      .0
          2      .117      .883      .0
          3      .201      .799      .0
          4      .298      .702      .0
          5      .252      .748      .0
          6      .252      .748      .0
          7      .053      .947      .0
                          FEMALES
                            SBP0508
         AGE     <130      130-<140     >=140

          1      .899      .060      .041
          2      .753      .116      .131
          3      .533      .209      .258
          4      .470      .184      .346
          5      .314      .200      .486
          6      .314      .200      .486
          7      .931      .043      .026

                           LDL0508
         AGE     <100     100-<130   >=130

          1      .385      .333      .282
          2      .253      .381      .366
          3      .213      .309      .478
          4      .340      .290      .370
          5      .392      .292      .316
          6      .392      .292      .316
          7      .412      .341      .247

                           SMOK0508 
         AGE       NO       ETS       YES

          1      .533      .225      .242
          2      .512      .260      .228
          3      .580      .247      .173
          4      .614      .265      .121
          5      .692      .231      .077
          6      .692      .231      .077
          7      .499      .265      .236

                            HDL0508
         AGE      <40      40-<60     >=60

          1      .108      .502      .390
          2      .083      .475      .442
          3      .099      .459      .442
          4      .071      .429      .500
          5      .100      .449      .451
          6      .100      .449      .451
          7      .105      .490      .405
 
                           BMI0508
         AGE      <25       25-<30      >=30

          1      .378      .265      .357
          2      .344      .266      .390
          3      .308      .272      .420
          4      .308      .336      .356
          5      .376      .357      .267
          6      .376      .357      .267
          7      .389      .266      .345
 
                         Diabetes0508
         AGE      Yes       No      Fill

          1      .059      .941      .0
          2      .087      .913      .0
          3      .169      .831      .0
          4      .255      .745      .0
          5      .276      .724      .0
          6      .276      .724      .0
          7      .044      .956      .0
