
                 TABLE M80 - all zero'd out lw 2/1/94

           YEAR       MALE     FEMALE

          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
          0000      0000000.     0000000.
